brand,description,price_usd,type
AGOLDE,Stovepipe high-rise straight-leg organic jeans,220,clothing
ALEXANDER WANG,Off-the-shoulder faux fur-trimmed stretch-jersey mini dress,850,clothing
DÔEN,+ NET SUSTAIN Ivana belted metallic printed organic cotton-voile midi dress,300,clothing
ZIMMERMANN,+ NET SUSTAIN Alight printed organic silk-satin shirt,595,clothing
ALLUDE,+ NET SUSTAIN Cashmere-blend sweater,810,clothing
FRAME,Le Palazzo high-rise wide-leg jeans,280,clothing
AGOLDE,Camryn denim shirt,230,clothing
YVES SALOMON,Double-breasted shearling coat,4045,clothing
KJUS,Sella Jet flared ski pants,600,clothing
LA DOUBLEJ,Visconti tiered ruffled floral-print crepe maxi dress,1250,clothing
ELIE SAAB,Pleated taffeta and crepe gown,4030,clothing
NAEEM KHAN,Petra pleated sequined tulle gown,6095,clothing
THE ROW,Dru wool and silk-blend blazer,3250,clothing
ZIMMERMANN,Matchmaker belted floral-print linen shirt,595,clothing
BALMAIN,Belted hooded faux fur and jacquard-trimmed shell ski jacket,5400,clothing
BRUNELLO CUCINELLI,Shell-trimmed wool ski salopettes,4995,clothing
KHAITE,Rumer metallic ribbed-knit midi dress,1280,clothing
ETRO,Metallic brocade blazer,2590,clothing
ALLUDE,+ NET SUSTAIN Ribbed cashmere-blend cardigan,865,clothing
ZIMMERMANN,+ NET SUSTAIN Alight floral-print organic silk-satin wide-leg pants,495,clothing
ZIMMERMANN,+ NET SUSTAIN Junie cropped floral-print linen wide-leg pants,495,clothing
ELIE SAAB,One-shoulder embellished stretch-crepe jumpsuit,2125,clothing
FAITHFULL THE BRAND,+ NET SUSTAIN Jomana one-shoulder ruched linen maxi dress,299,clothing
RIXO,Vivi cutout crystal-embellished velvet mini dress,400,clothing
THE ROW,Andy oversized double-breasted wool coat,4450,clothing
ALEX PERRY,Strapless stretch-velvet mini dress,1800,clothing
THE FRANKIE SHOP,Ines merino wool turtleneck sweater,265,clothing
DESMOND & DEMPSEY,+ NET SUSTAIN printed organic cotton pajama set,245,clothing
MAX MARA,"Teddy Bear Icon oversized wool, alpaca and silk-blend coat",4190,clothing
ZIMMERMANN,+ NET SUSTAIN Junie floral-print linen tunic,650,clothing
SAFIYAA,Briannie strapless faille-trimmed stretch-crepe gown,3075,clothing
THE ROW,Caroline stretch-jersey maxi dress,1190,clothing
DÔEN,+ NET SUSTAIN Amande printed cotton-voile maxi dress,230,clothing
ETRO,Dégradé cable-knit sweater,1150,clothing
HALFBOY,Shearling jacket,2495,clothing
ZIMMERMANN,+ NET SUSTAIN Matchmaker tiered floral-print crepon midi dress,895,clothing
CEFINN,Ronson velvet blazer,580,clothing
JOHANNA ORTIZ,+ NET SUSTAIN Wild Savannah belted tasseled printed linen dress,850,clothing
LESET,Jane Painter wool-blend twill straight-leg pants,440,clothing
SOLACE LONDON,Dakota off-the-shoulder crepe and satin-twill gown,715,clothing
DÔEN,Marlanna ruffled tiered printed silk-crepon maxi dress,700,clothing
MATTEAU,+ NET SUSTAIN wool-blend crepe straight-leg pants,580,clothing
MONCLER,Ghany quilted glossed-shell down vest,920,clothing
MOTHER,+ NET SUSTAIN The Dodger Sneak high-rise straight-leg jeans,230,clothing
WE NORWEGIANS,Blefjell cashmere turtleneck sweater,459,clothing
LANVIN,One-shoulder ruffled charmeuse gown,3990,clothing
MAX MARA,"Tedgirl double-breasted alpaca, wool and silk-blend coat",4190,clothing
ISABEL MARANT,Scarly wool-twill straight-leg pants,1040,clothing
TOTEME,Paneled shearling jacket,2500,clothing
JACQUEMUS,La Saudade Brodée asymmetric draped embroidered woven mini dress,1045,clothing
RIXO,Racquel ruched metallic jacquard midi dress,490,clothing
SAFIYAA,Arlene satin-trimmed stretch-crepe blazer,1955,clothing
YVES SALOMON,Shearling coat,4435,clothing
WE NORWEGIANS,Setesdal merino wool and cashmere-blend turtleneck sweater,499,clothing
LORO PIANA,"Trujillo Fair Isle silk, cashmere and cotton-blend sweater",2700,clothing
NORMA KAMALI,Stretch-jersey midi dress,225,clothing
ERES,Les Essentiels Aquarelle swimsuit,415,clothing
HALFBOY,Oversized suede bomber jacket,1670,clothing
ZIMMERMANN,+ NET SUSTAIN August printed silk wide-leg pants,550,clothing
FUSALP,Valentina Softshell ski pants,680,clothing
DRIES VAN NOTEN,Wool-blend twill blazer,1490,clothing
THE ROW,Brynlee open-back jersey midi dress,2450,clothing
ALEX PERRY,Sequined crepe mini dress,1800,clothing
LA DOUBLEJ,Icon printed silk-twill wide-leg pants,780,clothing
CAMILLA,Crystal-embellished printed silk-crepe maxi dress,799,clothing
&DAUGHTER,+ NET SUSTAIN cropped wool turtleneck sweater,540,clothing
LULULEMON,"Wunder Train high-rise leggings - 25""",128,clothing
NILI LOTAN,Idesia ribbed wool sweater,470,clothing
SELF-PORTRAIT,Cropped embellished fleece cardigan,540,clothing
DÔEN,Melinda embroidered silk-satin midi dress,400,clothing
THE ROW,Cassiopea oversized grain de poudre wool and mohair-blend coat,5290,clothing
ZIMMERMANN,+ NET SUSTAIN Alight gathered printed linen midi dress,850,clothing
FAITHFULL THE BRAND,+ NET SUSTAIN La Plage de Mau linen wide-leg pants,239,clothing
FAITHFULL THE BRAND,+ NET SUSTAIN Algarve linen jumpsuit,319,clothing
PERFECT MOMENT,Super Mojo III striped quilted down ski jacket,790,clothing
OSCAR DE LA RENTA,Belted floral-print cotton-blend poplin dress,2190,clothing
ETRO,Double-breasted cotton and wool-blend jacquard blazer,2720,clothing
BRUNELLO CUCINELLI,Double-breasted metallic velvet blazer,5295,clothing
YVES SALOMON,Double-breasted shearling coat,4915,clothing
ISABEL MARANT,Maray metallic flocked chiffon midi dress,2090,clothing
AGOLDE,Rami Carpenter mid-rise straight-leg organic jeans,230,clothing
LA DOUBLEJ,Cerere pussy-bow ruffled floral-print cotton poplin blouse,690,clothing
GABRIELA HEARST,Monod cutout wool and silk-blend duchesse-satin maxi dress,5450,clothing
ETRO,Flower-print cotton-blend poplin midi dress,2450,clothing
AGOLDE,Freya high-rise slim-leg organic jeans,210,clothing
NORMA KAMALI,Satin midi dress,285,clothing
NILI LOTAN,Edwige gathered silk-satin halterneck top,325,clothing
THE ROW,Delphine silk and cotton-blend jersey wide-leg pants,1790,clothing
TOTEME,Paneled shearling jacket,2700,clothing
HUNZA G,+ NET SUSTAIN Xandra seersucker bikini,230,clothing
GABRIELA HEARST,Sloane off-the-shoulder wool and silk-blend maxi dress,2990,clothing
ZIMMERMANN,+ NET SUSTAIN August belted floral-print linen mini dress,695,clothing
RALPH LAUREN COLLECTION,Cantrelle strapless silk-twill trimmed stretch-velvet midi dress,2690,clothing
MARANT ÉTOILE,Houston flocked cotton-blend jersey sweatshirt,450,clothing
JACQUEMUS,Off-the-shoulder embellished stretch-velour gown,1835,clothing
WE NORWEGIANS,Voss striped merino wool-blend piqué ski top,199,clothing
ACNE STUDIOS,+ NET SUSTAIN oversized recycled woven blazer,850,clothing
THE ROW,Bardon strapless grain de poudre wool and silk-blend maxi dress,3750,clothing
BOGNER,Lissi-D hooded layered quilted faux-leather and shell jacket,2300,clothing
HUISHAN ZHANG,Eleanor crystal-embellished cloqué midi dress,3495,clothing
NAEEM KHAN,Gatsby embellished tulle mini dress,4995,clothing
ALLUDE,+ NET SUSTAIN Troyer ribbed wool and cashmere-blend sweater,575,clothing
KHAITE,Sapphi ribbed wool-blend midi skirt,1420,clothing
CHLOÉ,Double-breasted wool and cashmere-blend jacket,3690,clothing
DESMOND & DEMPSEY,+ NET SUSTAIN printed organic cotton-voile pajama set,245,clothing
ERES,Les Essentiels Arnaque swimsuit,550,clothing
ALAÏA,Archetypes ruched stretch-jersey turtleneck midi dress,2430,clothing
JACQUEMUS,Chouchou convertible satin mini dress,1220,clothing
TOTEME,+ NET SUSTAIN shearling-trimmed recycled wool-blend coat,1950,clothing
PERFECT MOMENT,Star Dust intarsia merino wool turtleneck sweater,420,clothing
YVONNE S,+ NET SUSTAIN Marie Antoinette ruffled tiered linen maxi dress,672,clothing
A.L.C.,Anderson cropped satin-trimmed twill blazer,595,clothing
ALEX PERRY,Strapless pinstriped metallic twill jumpsuit,1800,clothing
